ファイル名,ページ,番号,日本語,翻訳
ミャンマー語_pdfplumber_抽出_最終版.csv,16,7.0,予防（する）,ကကြုံှိတငက် ာကယွ ်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,16,8.0,転倒（する）,လက (သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,16,9.0,挟まる,ညပ်သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,10.0,足元,သခ သထာကအ် န်း တဝှိုက်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,11.0,不安定（な）,မတညပ်ငမှိ ်(သသာ)
ミャンマー語_pdfplumber_抽出_最終版.csv,16,12.0,後片付け,အလပု ်ပပ ်းသနာက ် သနစ် ဲ့ ငသ် မှိ ််းဆည်း် ခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,13.0,救急箱,အသရ်းသပေါ်သဆ်းသသတတ ာ
ミャンマー語_pdfplumber_抽出_最終版.csv,16,14.0,絆創膏,ပလာစတာ
ミャンマー語_pdfplumber_抽出_最終版.csv,16,15.0,体調,က န်း် မာသရ်းအသခ အသန
ミャンマー語_pdfplumber_抽出_最終版.csv,16,16.0,血,သသ်းွ
ミャンマー語_pdfplumber_抽出_最終版.csv,16,17.0,熱中症,အပူလျှပ်ခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,18.0,吐き気,ပ ှိြုံွဲ့စှိတ၊်အန ် ငစ် ှိတ်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,19.0,嘔吐（する）,အန(် သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,17,20.0,足がつる,သခ သထာက ် ကကကတ် ကသ် ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,17,21.0,気分が悪い,သနလမှို ဲ့ သကာင်း် ေ်းူ
ミャンマー語_pdfplumber_抽出_最終版.csv,17,22.0,寝不足,အပှိ ်သရ်းမဝခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,17,23.0,安全ネット,လခ ု ြုံ သရ်းပှိုကက် နွ ်
ミャンマー語_pdfplumber_抽出_最終版.csv,17,24.0,安全点検,လခ ု ြုံ စှိတ ် မှုစစ်သဆ်းခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,1.0,KY活動（危険予知活動）,KY လပှု ်ရ ာ်းမှု (အန္ရတ ာယက်ကြုံှိတင ် နမ် ဲ့ န်း် သရှိ ှိ သရ်းလပှု ်ရ ာ်းမှု)
ミャンマー語_pdfplumber_抽出_最終版.csv,18,2.0,危険,အန္ရတ ာယ်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,3.0,ぶつかる,တကှို မ် ှိသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,4.0,当たる,ထမှိ ှိသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,5.0,下敷きになる,သအာကတ် ငွ ပ် ှိမှိသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,6.0,打つ,ထသု ည၊်ရုှိကသ် ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,7.0,バランスを崩す,ဟန ် ကပ် ကသ် ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,8.0,倒れる,လက သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,9.0,転落（する）,လမှိ ်ဲ့က သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,18,10.0,指差呼称,ြှ လကည် ြုံှိ်းထ်းှို ၍နာမညသ် ေါ် စစ်သဆ်းမှု
ミャンマー語_pdfplumber_抽出_最終版.csv,18,11.0,ヒヤリハット,သသ သ လ်းနလ ဲ့ တွ သ် ာွ ်းသသာလပု ်ငန်း် ငွ မ် သတာ်တ ဆခဖစ်မှု
ミャンマー語_pdfplumber_抽出_最終版.csv,19,12.0,原因,အသကကာင်း် ရင်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,19,13.0,対策,သဆာငရ် ွကမ် ှု၊စ မ က်
ミャンマー語_pdfplumber_抽出_最終版.csv,19,14.0,落下（する）,ခပြုံတက် သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,19,15.0,墜落（する）,အခမငမ်ဲ့ က သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,1.0,作業着,အလပု ်သမာ်းဝတစ် ု
ミャンマー語_pdfplumber_抽出_最終版.csv,20,2.0,作業服,အလပု ်သမာ်းဝတစ် ု
ミャンマー語_pdfplumber_抽出_最終版.csv,20,3.0,作業靴,လပု ်ငန်း် ငွ ဖ် ှိနပ်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,4.0,手袋,လကအ် တှိ ်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,5.0,帽子,ဥ ်းထပု ်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,6.0,保護帽（ヘルメット）,ကာကယွ သ် ရ်းဥ ်းထပု ် (Helmet)
ミャンマー語_pdfplumber_抽出_最終版.csv,36,7.0,保護帽（ヘルメット）,ကာကယွ သ် ရ်းဥ ်းထပု ် (Helmet)
ミャンマー語_pdfplumber_抽出_最終版.csv,20,7.0,保護具,လခ ု ြုံ သရ်းပစစည်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,8.0,あごひも,သမ်းသငှို ်း် ကကြုံှိ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,20,9.0,ボタン,ကကယသ် ်း (Button)
ミャンマー語_pdfplumber_抽出_最終版.csv,20,10.0,ポケット,အတှိ က် ပ်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,11.0,保護メガネ,ကာကယွ သ် ရ်းမ ကမ် န်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,12.0,マスク,မ ကန္် ာ ဖ ု်း (Mask)
ミャンマー語_pdfplumber_抽出_最終版.csv,20,13.0,耳栓,နာ်းသပါကအ် ဆှို ဲ့
ミャンマー語_pdfplumber_抽出_最終版.csv,20,14.0,安全靴,သခ သထာကက် ှို ကာကယွ သ် ညဖ်ဲ့ ှိနပ်
ミャンマー語_pdfplumber_抽出_最終版.csv,20,15.0,墜落制止用器具（安全 帯）,ခပြုံတက် မှုမ ကာကယွ သ် ရ်း ပစစည်း် (လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်း)
ミャンマー語_pdfplumber_抽出_最終版.csv,21,16.0,業務,လပု ်ငန်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,21,17.0,時間厳守,အ ှိနက် ှို တတှိ ကှိ က လကှို န် ာခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,21,18.0,予定,ကကြုံှိတငစ် စဥ် က်
ミャンマー語_pdfplumber_抽出_最終版.csv,21,19.0,日付,ရကစ် ွ
ミャンマー語_pdfplumber_抽出_最終版.csv,21,20.0,準備（する）,အသငခ်ဲ့ပင(် သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,21,21.0,会議,အစည်း် အသဝ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,21,22.0,朝礼,နန က ် င်း် လစူ ုအမ ာစကာ်း‌ သခပာခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,21,23.0,報告書,အစ ရင ် စ ာ
ミャンマー語_pdfplumber_抽出_最終版.csv,21,24.0,マニュアル,လကစ် ွစာသစာင ် (Manual)
ミャンマー語_pdfplumber_抽出_最終版.csv,21,25.0,作業手順書,လပု ်ငန်း် လပု ်သဆာငပ် ု အဆငဆ်ဲ့ ငစ်ဲ့ ာအုပ်
ミャンマー語_pdfplumber_抽出_最終版.csv,21,26.0,調子,(က န်း် မာသရ်း)အသခ အသန
ミャンマー語_pdfplumber_抽出_最終版.csv,22,1.0,立入禁止,မဝငရ်
ミャンマー語_pdfplumber_抽出_最終版.csv,22,2.0,禁煙,သဆ်းလပှိ ်မသသာကရ်
ミャンマー語_pdfplumber_抽出_最終版.csv,22,4.0,駐車禁止,ကာ်းမရပ်ရ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,5.0,足もと注意,သခ သထာကအ် န်း တဝှိုက် သတခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,6.0,開口部注意,အသပါကရ် ှိ သညသ် တခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,7.0,感電注意,ဓာတလ် ကှို တ် တသ် ည် သတခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,8.0,堕落注意,ခပြုံတက် တတသ် ည် သတခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,9.0,頭上注意,သ ါင်း် အသပေါ်သတထှိ ာ်းပါ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,10.0,警報設備,သတသှိ ပ်းသ ါင်း် သလာင်း် သနရာ
ミャンマー語_pdfplumber_抽出_最終版.csv,23,12.0,AED設置場所,န္လ ်း ု န္်းှိှု စကထ် ာ်းသညသ်ဲ့ နရာ
ミャンマー語_pdfplumber_抽出_最終版.csv,23,13.0,保護帽着用,ကာကယွ သ် ရ်းဥ ်းထပု ် သဆာင်း် ပါ
ミャンマー語_pdfplumber_抽出_最終版.csv,23,14.0,安全帯使用,လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်းသ်း ု ပါ
ミャンマー語_pdfplumber_抽出_最終版.csv,23,15.0,昇降階段,ခငမ််းအတငွ ်း် ရှိ သလက ာ်း
