CSV行,日本語,Page,番号,マッチ
495,安定（する）,48,17.0,✓
496,大きさ,48,18.0,✓
497,数,48,19.0,✓
498,誤差,48,20.0,✓
499,中,48,21.0,✓
500,反対,48,22.0,✓
501,周り,48,23.0,✓
502,尺,48,24.0,✓
503,青,48,25.0,✓
504,赤,48,26.0,✓
505,白,48,27.0,✓
506,黄色,48,28.0,✓
507,掃く,49,3.0,✓
508,持ち上げる,49,4.0,✓
509,束ねる,49,5.0,✓
510,足をくじく,49,6.0,✓
511,一輪車,50,1.0,✓
512,支柱,50,2.0,✓
513,ショベル,50,3.0,✓
514,感電（する）,,,✗
515,防止（する）,,,✗
516,予防（する）,,,✗
517,転倒（する）,,,✗
518,不安定（な）,,,✗
519,嘔吐（する）,,,✗
520,転落（する）,,,✗
521,落下（する）,,,✗
522,墜落（する）,,,✗
523,丸セパレーター （丸セパ）,,,✗
524,ケレン,,,✗
525,基礎型枠 （メタルフォーム）,,,✗
