言語,Page,番号,単語,翻訳
中国語,45,17,安定（する）,稳定
中国語,45,18,大きさ,大小
中国語,45,19,数,数量
中国語,45,20,誤差,误差
中国語,45,21,中,里面
中国語,45,22,反対,反面
中国語,45,23,周り,周围
中国語,45,24,尺,尺
中国語,45,25,青,蓝
中国語,45,26,赤,红
中国語,45,27,白,白
中国語,45,28,黄色,黄色
中国語,46,1,片づける,收拾
中国語,46,2,捨てる,扔掉
中国語,46,3,掃く,扫
中国語,46,4,持ち上げる,举起来
中国語,46,5,束ねる,捆在一起
中国語,46,6,足をくじく,脚扭伤
中国語,47,1,一輪車,单轮车
中国語,47,2,支柱,支柱
中国語,47,3,ショベル,铲斗、铲子
中国語,47,4,かけや,大木锤
