ファイル名,ページ,番号,日本語,翻訳
ベトナム語_pdfplumber_抽出_最終版.csv,25,15.0,積載荷重,Hoạt tải
ベトナム語_pdfplumber_抽出_最終版.csv,25,16.0,すき間,Khe hở
ベトナム語_pdfplumber_抽出_最終版.csv,25,17.0,通りを見る,Kiểm tra có thẳng hay khô ng
ベトナム語_pdfplumber_抽出_最終版.csv,25,18.0,組立,"Lắp ráp, lắp ghép"
ベトナム語_pdfplumber_抽出_最終版.csv,25,19.0,地組,Lắp ráp ở mặt đất
ベトナム語_pdfplumber_抽出_最終版.csv,25,20.0,天端,Mặt trên
ベトナム語_pdfplumber_抽出_最終版.csv,26,21.0,玉掛け,Treo tải
ベトナム語_pdfplumber_抽出_最終版.csv,26,22.0,合図,"Dấu hiệu, tín hiệu"
ベトナム語_pdfplumber_抽出_最終版.csv,26,23.0,定格荷重,Tải trọng quy định
ベトナム語_pdfplumber_抽出_最終版.csv,26,24.0,たち,Độ thẳng đứng
ベトナム語_pdfplumber_抽出_最終版.csv,27,2.0,安全帯,Dây đai an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,27,3.0,インサート,Chốt chèn
ベトナム語_pdfplumber_抽出_最終版.csv,27,4.0,スペーサ,Con kê
ベトナム語_pdfplumber_抽出_最終版.csv,27,5.0,鉄筋,Thanh cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,27,6.0,電工ドラム（ドラム）,Rulô cuốn dây điện
ベトナム語_pdfplumber_抽出_最終版.csv,27,7.0,電動丸のこ（電のこ）,Máy cưa đĩa (Dennoko)
ベトナム語_pdfplumber_抽出_最終版.csv,27,8.0,パッキン,"Gioăng, đệm, khớp nối"
ベトナム語_pdfplumber_抽出_最終版.csv,27,9.0,小バール,"Xà beng, đòn bẩy nhỏ"
ベトナム語_pdfplumber_抽出_最終版.csv,27,10.0,大バール,"Xà beng, đòn bẩy to"
ベトナム語_pdfplumber_抽出_最終版.csv,28,11.0,化粧合板,Ván trang trí
ベトナム語_pdfplumber_抽出_最終版.csv,28,12.0,普通合板,Ván thường
ベトナム語_pdfplumber_抽出_最終版.csv,28,13.0,スタイロフォーム,Tấm cách nhiệt
ベトナム語_pdfplumber_抽出_最終版.csv,28,14.0,面木,Dải vát cạnh
