行ID,ファイル名,言語,ページ,番号,日本語,翻訳
204,英語_pdfplumber_抽出_最終版.csv,英語,16,17.0,時間厳守,Punctuality
205,英語_pdfplumber_抽出_最終版.csv,英語,16,18.0,予定,Schedule
206,英語_pdfplumber_抽出_最終版.csv,英語,16,19.0,日付,Date
207,英語_pdfplumber_抽出_最終版.csv,英語,16,20.0,準備（する）,Preparation (Prepare)
208,英語_pdfplumber_抽出_最終版.csv,英語,16,21.0,会議,Meeting
209,英語_pdfplumber_抽出_最終版.csv,英語,16,22.0,朝礼,Morning meeting
210,英語_pdfplumber_抽出_最終版.csv,英語,16,23.0,報告書,Report
211,英語_pdfplumber_抽出_最終版.csv,英語,16,24.0,マニュアル,Manual
212,英語_pdfplumber_抽出_最終版.csv,英語,16,25.0,作業手順書,Operating procedures
213,英語_pdfplumber_抽出_最終版.csv,英語,16,26.0,調子,Condition
214,英語_pdfplumber_抽出_最終版.csv,英語,17,1.0,立入禁止,DO NOT ENTER
215,英語_pdfplumber_抽出_最終版.csv,英語,17,2.0,禁煙,NO SMOKING
216,英語_pdfplumber_抽出_最終版.csv,英語,17,3.0,火気厳禁,NO OPEN FLAMES
217,英語_pdfplumber_抽出_最終版.csv,英語,17,4.0,駐車禁止,NO PARKING
218,英語_pdfplumber_抽出_最終版.csv,英語,17,5.0,足もと注意,WATCH YOUR STEP
219,英語_pdfplumber_抽出_最終版.csv,英語,17,6.0,開口部注意,DANGER OPEN HOLE
220,英語_pdfplumber_抽出_最終版.csv,英語,17,7.0,感電注意,DANGER ELECTRIC SHOCK RISK
221,英語_pdfplumber_抽出_最終版.csv,英語,17,8.0,堕落注意,DANGER FALL HAZARD(cid:9)
222,英語_pdfplumber_抽出_最終版.csv,英語,17,9.0,頭上注意,WATCH YOUR HEAD
223,英語_pdfplumber_抽出_最終版.csv,英語,17,10.0,警報設備,ALARM SYSTEM
224,英語_pdfplumber_抽出_最終版.csv,英語,18,11.0,消火器,FIRE EXTINGUISHER
225,英語_pdfplumber_抽出_最終版.csv,英語,18,12.0,AED設置場所,AED INSIDE
226,英語_pdfplumber_抽出_最終版.csv,英語,18,13.0,保護帽着用,WEAR SAFETY HELMET
227,英語_pdfplumber_抽出_最終版.csv,英語,18,14.0,安全帯使用,WEAR SAFETY HARNESS
228,英語_pdfplumber_抽出_最終版.csv,英語,18,15.0,昇降階段,STAIRWAY
229,英語_pdfplumber_抽出_最終版.csv,英語,18,16.0,休憩所,BREAK AREA
230,英語_pdfplumber_抽出_最終版.csv,英語,18,17.0,最大積載荷重,MAXIMUM LOAD CAPACITY
231,英語_pdfplumber_抽出_最終版.csv,英語,18,18.0,喫煙所,SMOKING AREA
232,英語_pdfplumber_抽出_最終版.csv,英語,18,19.0,整理整頓,KEEP IN ORDER
233,英語_pdfplumber_抽出_最終版.csv,英語,18,20.0,安全通路,SAFETY PASSAGE
234,英語_pdfplumber_抽出_最終版.csv,英語,19,1.0,三連クランプ,Triple clamp
235,英語_pdfplumber_抽出_最終版.csv,英語,19,2.0,ベルトコンベア （ベルコン）,Conveyor belt
236,英語_pdfplumber_抽出_最終版.csv,英語,19,3.0,かけや,Wooden mallet
237,英語_pdfplumber_抽出_最終版.csv,英語,19,4.0,ランマ,Rammer
238,英語_pdfplumber_抽出_最終版.csv,英語,19,5.0,自在クランプ,Swivel clamp
239,英語_pdfplumber_抽出_最終版.csv,英語,19,6.0,キャッチクランプ,Catch clamp
240,英語_pdfplumber_抽出_最終版.csv,英語,19,7.0,吊り上げ用クランプ,Lifting clamp
241,英語_pdfplumber_抽出_最終版.csv,英語,19,8.0,直交クランプ,Fixed clamp
242,英語_pdfplumber_抽出_最終版.csv,英語,19,9.0,フック,Hook
243,英語_pdfplumber_抽出_最終版.csv,英語,19,10.0,ストレートシャックル,Straight shackle
244,英語_pdfplumber_抽出_最終版.csv,英語,20,11.0,滑車,Pulley
245,英語_pdfplumber_抽出_最終版.csv,英語,20,12.0,クレーン,Crane
246,英語_pdfplumber_抽出_最終版.csv,英語,20,13.0,移動式クレーン,Mobile crane
247,英語_pdfplumber_抽出_最終版.csv,英語,20,14.0,介しゃくロープ,Guide rope
248,英語_pdfplumber_抽出_最終版.csv,英語,20,15.0,昇降階段,Stairway
249,英語_pdfplumber_抽出_最終版.csv,英語,20,16.0,筋かい止めピン,Cross bracing pin
250,英語_pdfplumber_抽出_最終版.csv,英語,20,17.0,脚柱ジョイント,Leg column joint
251,英語_pdfplumber_抽出_最終版.csv,英語,20,18.0,連結ピン,Coupling pin
252,英語_pdfplumber_抽出_最終版.csv,英語,20,19.0,ジョイント金具,Joint fitting
253,英語_pdfplumber_抽出_最終版.csv,英語,20,20.0,レバーブロック,Lever block
254,英語_pdfplumber_抽出_最終版.csv,英語,20,21.0,電動のこ（丸のこ）,Electric saw (Circular saw)
255,英語_pdfplumber_抽出_最終版.csv,英語,21,22.0,モンキースパナ,Adjustable wrench
256,英語_pdfplumber_抽出_最終版.csv,英語,21,23.0,親綱支柱,Main rope post
257,英語_pdfplumber_抽出_最終版.csv,英語,21,24.0,ブラケット,Bracket
258,英語_pdfplumber_抽出_最終版.csv,英語,21,25.0,梯子,Ladder
259,英語_pdfplumber_抽出_最終版.csv,英語,22,1.0,親綱,Main rope
260,英語_pdfplumber_抽出_最終版.csv,英語,22,2.0,建枠（ビティ）,Standard scaffold frame (Beatty frame)
261,英語_pdfplumber_抽出_最終版.csv,英語,22,3.0,メッシュシート,Mesh sheet(cid:9)
262,英語_pdfplumber_抽出_最終版.csv,英語,22,4.0,防音パネル,Soundproof panel
263,英語_pdfplumber_抽出_最終版.csv,英語,22,5.0,朝顔材,Protective shelf
264,英語_pdfplumber_抽出_最終版.csv,英語,22,6.0,架空線,Overhead power line
265,英語_pdfplumber_抽出_最終版.csv,英語,22,7.0,幅木（仮設足場）,Baseboard (Temporary scaffolding)
266,英語_pdfplumber_抽出_最終版.csv,英語,22,8.0,単管,Single pipe(cid:9)
267,英語_pdfplumber_抽出_最終版.csv,英語,22,9.0,脚立,Stepladder
268,英語_pdfplumber_抽出_最終版.csv,英語,22,10.0,作業半径,Operating radius
